Date,OpenPrice,HighPrice,LowPrice,ClosePrice,VolumeTraded,AdjustedPrice
03-01-2007,200.600006,203.320007,197.820007,200.720001,6494900,175.871643
04-01-2007,200.220001,200.669998,198.070007,198.850006,6460200,174.233185
05-01-2007,198.429993,200,197.899994,199.050003,5892900,174.408432
08-01-2007,199.050003,203.949997,198.100006,203.729996,7851000,178.509064
09-01-2007,203.539993,204.899994,202,204.080002,7147100,178.815659
10-01-2007,203.399994,208.440002,201.5,208.110001,8025700,182.346817
11-01-2007,208.339996,213.169998,207.600006,211.880005,9039400,185.650101
12-01-2007,210.899994,214.220001,210.399994,213.990005,6618900,187.498932
16-01-2007,210.850006,215.130005,210.850006,213.589996,5846600,187.148438
17-01-2007,212.199997,214.089996,210.850006,213.229996,5306300,186.832977
18-01-2007,213.75,214.809998,209.100006,209.679993,6423200,183.722458
19-01-2007,209.080002,211.440002,208.839996,210.289993,5333700,184.564987
22-01-2007,211.089996,213.25,209.600006,212.970001,4980700,186.917145
23-01-2007,212.820007,213.419998,210.649994,212.639999,6293400,186.627502
24-01-2007,213.509995,220.169998,213.029999,220.100006,6386800,193.174973
25-01-2007,219.830002,220.509995,212.509995,213.070007,7853800,187.004913
26-01-2007,214.559998,214.899994,210.600006,213.5,7458200,187.382324
29-01-2007,213.899994,215.080002,210.130005,211.039993,5890700,185.223206
30-01-2007,211.080002,212.309998,208.369995,208.779999,6001000,183.239761
31-01-2007,208.300003,212.75,207.289993,212.160004,7235100,186.206299
01-02-2007,213.440002,213.899994,209.729996,212,5734500,186.065811
02-02-2007,211,213.899994,211,213.429993,3527000,187.320831
05-02-2007,213.300003,213.720001,211.5,212.550003,2995700,186.548538
06-02-2007,213.289993,215.860001,212.699997,214.649994,3803100,188.391647
07-02-2007,215.029999,215.850006,213.100006,213.550003,3621700,187.426193
08-02-2007,212.089996,215.210007,209.809998,213.899994,5410500,187.733368
09-02-2007,215.770004,219.259995,210.580002,213.279999,9109300,187.189224
12-02-2007,213.75,214,209.869995,211.130005,5384400,185.302261
13-02-2007,211.979996,213.300003,210.470001,212.529999,4022000,186.531036
14-02-2007,213.699997,219.100006,212.789993,217.399994,7696400,190.805222
15-02-2007,217.940002,218.839996,216.410004,216.820007,3627200,190.296173
16-02-2007,215.960007,217.5,215.020004,216.919998,3118500,190.383957
20-02-2007,218.330002,221.899994,215.970001,220.940002,6225500,193.91217
21-02-2007,219.25,221.5,218.160004,220.149994,5225500,193.218811
22-02-2007,221,222.75,218,218.970001,4273400,192.183182
23-02-2007,219.160004,219.800003,215.550003,216.5,5507400,190.015305
26-02-2007,217.990005,218.369995,212.660004,214,5552700,187.821198
27-02-2007,209.75,210.399994,194.649994,196,18817600,172.023117
28-02-2007,200.399994,203.850006,197.789993,201.75,15940000,177.069672
01-03-2007,197.119995,202.699997,194.080002,199.660004,14141300,175.235382
02-03-2007,198.199997,200.919998,195.589996,195.669998,9842200,171.73349
05-03-2007,193.550003,197.490005,189.850006,190,13391800,166.75705
06-03-2007,193.899994,198.199997,193.699997,197.369995,10796300,173.22554
07-03-2007,197.479996,199,195.5,195.589996,8459500,171.66333
08-03-2007,198.029999,202.020004,198,199.940002,10789400,175.481171
09-03-2007,202.949997,202.990005,198.860001,201.699997,7676900,177.025833
12-03-2007,200,202.889999,198.860001,202.600006,9623200,177.815735
13-03-2007,204.960007,208.559998,198.520004,199.029999,31973100,174.682434
14-03-2007,200,202.160004,197.539993,200.149994,20394300,175.665466
15-03-2007,200,202.369995,199.5,200.889999,9741600,176.314896
16-03-2007,200.789993,201.050003,198.270004,199,10875200,174.656143
19-03-2007,201.320007,202.5,200.440002,202.440002,8186200,177.675308
20-03-2007,202.490005,204.429993,202,204,6641900,179.04451
21-03-2007,205.339996,211.509995,204.160004,210.949997,10934100,185.144272
22-03-2007,211.699997,211.75,209.289993,210.080002,8016100,184.380676
23-03-2007,210.059998,211.889999,209.710007,211.889999,5106800,185.96936
26-03-2007,212.009995,212.220001,209.300003,211.729996,6525100,185.828842
27-03-2007,211.009995,211.729996,209.740005,209.869995,4806100,184.19635
28-03-2007,208.210007,208.669998,206.190002,206.759995,7991200,181.466782
29-03-2007,208.089996,208.889999,206.300003,207.199997,6380800,181.852936
30-03-2007,207.440002,209.029999,204.699997,206.630005,5177000,181.352676
02-04-2007,207.669998,207.679993,203.289993,205.649994,5797000,180.492554
03-04-2007,207,209.75,206.470001,209.75,5015300,184.091095
04-04-2007,209.449997,209.949997,208.210007,208.789993,4141600,183.248459
05-04-2007,208.5,208.5,207.410004,207.929993,3010800,182.493713
09-04-2007,208.570007,209.869995,207.449997,208.940002,3610500,183.380157
10-04-2007,208.300003,209.809998,208.210007,209.050003,3002700,183.476685
11-04-2007,208.699997,208.869995,206.610001,206.929993,5550400,181.616028
12-04-2007,206.25,207.520004,205.389999,207.050003,3946200,181.72139
13-04-2007,207.949997,207.949997,205.610001,206.5,4320400,181.238663
16-04-2007,208.240005,215.229996,208.119995,214.520004,10003000,188.277542
17-04-2007,215.149994,216.869995,213.539993,214.899994,6064400,188.611084
18-04-2007,214.100006,218.539993,213.970001,216.75,6077200,190.234741
19-04-2007,215.339996,221.710007,214.800003,219.289993,8880000,192.46405
20-04-2007,221.229996,222.190002,218.369995,220,7393900,193.395844
23-04-2007,221,223.979996,220.479996,222.419998,5816300,195.523163
24-04-2007,222.75,223.240005,218.710007,220.720001,6724800,194.028778
25-04-2007,221.899994,226.050003,220.100006,225.600006,7627000,198.318649
26-04-2007,225.899994,226.610001,224.169998,224.809998,4730800,197.624176
27-04-2007,224.050003,225.710007,222.990005,224.279999,3597400,197.158295
30-04-2007,224.360001,224.979996,218.479996,218.610001,5484500,192.173965
01-05-2007,219.080002,219.910004,215.350006,218.580002,6295500,192.147598
02-05-2007,218,221.919998,217.449997,219.490005,4859500,192.94751
03-05-2007,220.389999,221.929993,218.550003,221.559998,4414600,194.767212
04-05-2007,222.600006,227.339996,221.429993,227.339996,5632300,199.848251
07-05-2007,227,229.899994,225.600006,227.220001,4637000,199.742722
08-05-2007,225.919998,225.990005,222.960007,224.949997,4879700,197.747284
09-05-2007,224.949997,227.679993,223.350006,226.570007,5195100,199.171341
10-05-2007,225.5,226.979996,222.949997,223.100006,4963100,196.120926
11-05-2007,223.910004,227.550003,223.600006,227.5,4956100,199.988831
14-05-2007,228.029999,229,225.350006,226.179993,4761900,198.828491
15-05-2007,226.190002,228.330002,224.259995,224.380005,5771800,197.246246
16-05-2007,225.589996,227.960007,224.520004,227.110001,5161400,199.646057
17-05-2007,226.75,227.929993,225.25,227.380005,4185200,199.883377
18-05-2007,228.550003,231.220001,227.949997,230.339996,6726900,202.485428
21-05-2007,230.649994,231.690002,228.559998,229.229996,7778600,201.509659
22-05-2007,229.789993,231.660004,228.75,230.710007,3568400,202.810715
23-05-2007,231.699997,232.410004,228.429993,228.539993,4276600,200.903137
24-05-2007,229.369995,230.75,225.050003,225.679993,6211000,198.389008
25-05-2007,226.809998,226.949997,224.190002,225.529999,4068800,198.257095
29-05-2007,226.25,228.899994,226.029999,228.440002,3734700,200.815201
30-05-2007,226.25,232,225.600006,232,5393000,203.944733
31-05-2007,232.210007,233.970001,230.089996,230.820007,4578100,202.907425
01-06-2007,232.080002,232.889999,229.589996,230.710007,4093200,202.810715
04-06-2007,230,230.649994,227.940002,229.710007,3411600,201.931686
05-06-2007,229.360001,230.330002,228.25,229.360001,3676600,201.623962
06-06-2007,227.770004,227.940002,224.850006,227.350006,4411400,199.857025
07-06-2007,226.289993,227.419998,219.339996,220.050003,8363600,193.439758
08-06-2007,220.100006,225.070007,218.75,225.059998,5903000,197.843979
11-06-2007,225.600006,227.570007,224.130005,227.160004,4285600,199.689972
12-06-2007,226.899994,231.119995,225.580002,227.850006,7474500,200.296555
13-06-2007,229,233.639999,228,233.639999,7359000,205.386429
14-06-2007,227.710007,229.300003,225.009995,225.75,14381600,198.450546
15-06-2007,227.330002,228.470001,226,226.190002,7430400,198.837296
18-06-2007,226.550003,227.539993,224.800003,226.970001,4370200,199.52298
19-06-2007,226.160004,229.570007,225.490005,229.470001,4580200,201.720657
20-06-2007,229.75,230.330002,225.720001,225.889999,5831400,198.573639
21-06-2007,225.979996,226.899994,222.199997,226.899994,8340800,199.461426
22-06-2007,226.5,226.789993,220.270004,222.399994,9778800,195.505646
25-06-2007,221.110001,223.169998,215.050003,216.740005,11566700,190.530075
26-06-2007,217.699997,219.360001,214.169998,214.169998,9711500,188.270859
27-06-2007,214,219.800003,212.559998,219.330002,9018600,192.806839
28-06-2007,219.75,221.470001,217.669998,218.960007,5980200,192.481613
29-06-2007,219.550003,220.440002,213.690002,216.75,7853800,190.538864
02-07-2007,217.5,219.649994,216,219.179993,5019900,192.675034
03-07-2007,220.339996,224.899994,219.990005,224.550003,4676800,197.395615
05-07-2007,224.289993,224.289993,221.199997,221.320007,5385600,194.556274
06-07-2007,220.759995,224.220001,220.699997,223.639999,4122400,196.595673
09-07-2007,223.020004,225.770004,222.509995,223.300003,3998900,196.296768
10-07-2007,220.990005,222.699997,216.520004,217.080002,7960500,190.828918
11-07-2007,216.979996,219,214.649994,216.720001,8924700,190.512543
12-07-2007,218.470001,220.289993,216.720001,220.289993,6072900,193.650772
13-07-2007,220.059998,222.820007,219.199997,222.179993,5605300,195.31221
16-07-2007,221.869995,223.449997,219.460007,220.399994,4654500,193.747498
17-07-2007,221.740005,222.119995,218.649994,219.399994,5582200,192.868393
18-07-2007,216.029999,218.520004,212.339996,214.990005,11664000,188.99176
19-07-2007,217.080002,217.5,210.029999,211.690002,9461900,186.090744
20-07-2007,211.169998,211.970001,204.789993,205.940002,14540900,181.036148
23-07-2007,207.160004,207.880005,204.070007,205.039993,7760400,180.244904
24-07-2007,202.630005,204.559998,196.770004,198.149994,12344500,174.188141
25-07-2007,199.800003,203.75,197.779999,203.160004,13933200,178.592285
26-07-2007,198,199.889999,189,195.119995,22690900,171.524551
27-07-2007,194.669998,196.839996,190.509995,192.649994,17054700,169.657532
30-07-2007,194.520004,197.600006,192.449997,195.740005,12195100,172.378784
31-07-2007,198.550003,198.990005,187.25,188.339996,14744900,165.861954
01-08-2007,187.029999,189.100006,182.850006,189,16284300,166.443192
02-08-2007,189.149994,192.479996,185,187.460007,13133400,165.086914
03-08-2007,185.410004,186.839996,179.679993,179.679993,19828300,158.235458
06-08-2007,179.199997,187.860001,175,187.789993,18867300,165.377563
07-08-2007,186.580002,194.639999,185.389999,191.25,22763100,168.424622
08-08-2007,192.039993,198.5,188.759995,193.300003,20622000,170.229965
09-08-2007,186.160004,190.649994,180.789993,182.25,20868400,160.49881
10-08-2007,178.649994,184.410004,175.570007,180.5,20278700,158.957703
13-08-2007,185.009995,187.25,176.610001,177.5,15296400,156.315689
14-08-2007,178.600006,178.779999,169,169.75,26255900,149.49057
15-08-2007,169,173.520004,163.830002,164.899994,22268000,145.219437
16-08-2007,163.100006,171.410004,157.380005,169.850006,31328800,149.578644
17-08-2007,178.119995,180.860001,170.5,175,26741100,154.114075
20-08-2007,176.020004,176.389999,170.119995,172.759995,13174400,152.141342
21-08-2007,172.5,177.300003,170,175.479996,11796100,154.536743
22-08-2007,177.520004,180.050003,174.289993,177.889999,13427000,156.659119
23-08-2007,179.789993,180.880005,175.919998,177.5,10549400,156.315689
24-08-2007,176.770004,180.259995,175.600006,179.729996,8935300,158.279495
27-08-2007,179.330002,180.050003,177.259995,177.949997,6664000,156.711929
28-08-2007,175.009995,176.130005,170.25,170.949997,11610600,150.547424
29-08-2007,172.380005,174.449997,167.919998,173.720001,12797500,152.986832
30-08-2007,169.960007,173.429993,169.789993,171.380005,9559600,150.926117
31-08-2007,175.649994,178.100006,173.869995,176.009995,11023700,155.00351
04-09-2007,176.179993,183.699997,176.179993,180.800003,10161800,159.221863
05-09-2007,179.679993,179.789993,176.899994,177.809998,8987600,156.588715
06-09-2007,178.5,179.710007,175.360001,179.179993,9250600,157.795197
07-09-2007,176.600006,181.050003,175,178.979996,15144300,157.619019
10-09-2007,180.5,186.070007,178.5,183.610001,12989300,161.696457
11-09-2007,185.5,187,182.5,183.5,11334500,161.599594
